date,Applicances,lights,T1,RH_1,T2,RH_2,T3,RH_3,T4,RH_4,T5,RH_5,T6,RH_6,T7,RH_7,T8,RH_8,T9,RH_9,T_out,Press_mm_hg,RH_out,Windspeed,Visibility,Tdewpoint
1/23/2016 6:10,,0,17.29,43.2,16.29,43.29,17.7,41.26,15.3,42.5,15.55555556,48.91111111,6.4,99.9,15.69,38.09,16.64444444,45.94444444,15.19,42.36333333,5.90,766.7333333,99.83333333,4,14,5.87
1/28/2016 13:00,,0,19.1,45.82666667,18.39,45.26,19.7,44.56,18.2,45.59,17.2,52.334,6.4,97.42333333,17.95722222,41.46111111,17.945,47.66944444,16.96333333,46.62666667,7.30,765.2,74,2,40,2.90
2/26/2016 6:00,,0,20.29,38.93333333,18.5,40.4,21.29,38.79,20.29,36.29,18.79,42.79,1.29,83.46666667,19.2,37.4,20.6,43.59,18,41.4,1.10,755.3,95,1,46,0.40
1/12/2016 3:20,,0,20.5,46.29,19.79,44.53,20.29,45.4,20.39,46.03,18.7,50.09,3.79,93.09333333,17.89,46.2,19.2,55.09,17,48.03,4.83,739.1333333,92.33333333,4.666666667,40,3.67
1/13/2016 6:00,,0,18.89,44.29,18.2,44,19.92666667,45.03,18.46333333,44.16333333,17.16666667,52.79,5.56,78.36666667,18.00555556,45.30166667,18.7,53.38705882,17.2,50.26,5.00,752.8,90,7,23,3.40
1/19/2016 11:20,,0,18.7,40.56,17.5,40.82666667,19.03333333,39.82666667,18.29,37.96666667,16.68888889,56.62055556,-3.929444444,87.94944444,17.43277778,33.35222222,18.79,42.065,16.6,38.5,-2.13,757.4666667,79,1,49.33333333,-5.37
1/19/2016 13:40,,0,19,39.9,17.79,40.4,19.06666667,39.86333333,18.1,37.29,16.58888889,55.82777778,-1.122222222,92.05333333,18.1,32.275,19.29,40.66333333,16.89,38.09,-0.13,757.4,66.66666667,1,22,-5.67
1/19/2016 15:40,,0,19.29,40.12666667,18.1,40.53,19.1,39.59,18.29,37.66333333,16.46333333,55.25,-0.404761905,93.75238095,19.29,31.87333333,20.05,39.79,16.89,38.59,0.77,757.2666667,60.33333333,1,27,-6.10
1/20/2016 5:00,,0,18.7,39,17.39,39.4,19,39.26,17.46333333,38.26,16.89,48.59,-4.663333333,88.36444444,17.1,33,19.29,45.2,16.39,41.9,-4.00,759.1,90,1,61,-5.40
1/21/2016 8:20,,0,18.06666667,38.72333333,17,37.96666667,18.39,39.23,16.89,36.82666667,16.2,49.77444444,-3.03,90.95666667,15.885,32.20388889,18.53888889,42.94277778,15.7175,40.375,-3.30,763.4333333,91.66666667,1,51.66666667,-4.50
1/22/2016 1:10,,0,20.1,37.23,19.16666667,36.82666667,19.26,39.66333333,16.89,38.09,17.37333333,44.49833333,-1.9,94.3,16.6,32.255,19.29,44.41666667,15.92666667,41.23,-0.30,765,88.83333333,3,61.16666667,-1.93
1/22/2016 4:50,,0,19.06666667,37.5,18.03333333,37.32666667,19.2,40.09,16.53333333,38.2,16.79,46.46111111,-1.845,94.345,16.39,32.78,18.84,46.745,16,42.5,-1.13,764.1,87,3,62,-3.03
1/22/2016 16:30,,0,18.2,39.16333333,17.2,39.66333333,18.32333333,39.43333333,16.05,39.045,16.06666667,47.78611111,4.03,98.15666667,16.18888889,34.10444444,17.61111111,42.06722222,15.69,39.29,3.00,760.45,90.5,5.5,55.5,1.60
1/22/2016 19:50,,0,17.89,40.4,16.85666667,40.96666667,18.2,39.86333333,15.8,40,15.89,48.2,3.79,99.5,16,35.29611111,17.29,43.2,15.53333333,40,3.68,761.0166667,96.66666667,6.833333333,40.16666667,3.15
1/23/2016 4:30,,0,17.29,42.7,16.39,42.86333333,17.76,40.9,15.39,42.09,15.6,48.79,5.5,99.9,15.79388889,37.555,16.725,45.4,15.19,41.9,5.05,766.1,99.5,3.5,7,5.00
1/23/2016 4:50,,0,17.29,42.76,16.39,42.96666667,17.76,40.93333333,15.39,42.09,15.6,48.79,5.656666667,99.9,15.77555556,37.63277778,16.7,45.46666667,15.19,41.96666667,5.08,766.2333333,99.83333333,3.833333333,9.666666667,5.07
1/23/2016 7:50,,0,17.2,43.32666667,16.29,43.7,17.6,41.5,15.3,42.9,15.5,49.09,6.093333333,99.9,15.69,38.5,16.58333333,46.37555556,15.1,42.9,5.65,767.7333333,99,3.166666667,42.33333333,5.53
1/24/2016 0:30,,0,18.92666667,41.86333333,18.39,41.29,18.2,43.7,15.89,47.43333333,15.445,51.065,5.5,99.9,15.59444444,40.09,19.49388889,51.63611111,15.16,46.86333333,5.20,769.55,92,4.5,23.5,4.00
1/24/2016 0:40,,0,18.89,41.9,18.35666667,41.4,18.2,43.7,15.89,47.4,15.43888889,51.04,5.5,99.9,15.56666667,40.045,19.42666667,51.68166667,15.19,47,5.23,769.5333333,92,4.333333333,23.66666667,4.03
