date,Appliances,lights,T1,RH_1,T2,RH_2,T3,RH_3,T4,RH_4,T5,RH_5,T6,RH_6,T7,RH_7,T8,RH_8,T9,RH_9,T_out,Press_mm_hg,RH_out,Windspeed,Visibility,Tdewpoint,hour,time_of_day_D,time_of_day_N
2016-01-11 17:00:00,60,30,19.89,47.59666667,19.2,44.79,19.79,44.73,19.0,45.56666667,17.16666667,55.2,7.026666667000001,84.25666667,17.2,41.62666667,18.2,48.9,17.03333333,45.53,6.6,733.5,92.0,7.0,63.0,5.3,17,1,0
2016-01-11 17:10:00,60,30,19.89,46.69333333,19.2,44.7225,19.79,44.79,19.0,45.9925,17.16666667,55.2,6.833333333,84.06333333,17.2,41.56,18.2,48.86333333,17.06666667,45.56,6.48,733.6,92.0,6.666666667,59.16666667,5.2,17,1,0
2016-01-11 17:20:00,50,30,19.89,46.3,19.2,44.62666667,19.79,44.93333333,18.92666667,45.89,17.16666667,55.09,6.56,83.15666667,17.2,41.43333333,18.2,48.73,17.0,45.5,6.37,733.7,92.0,6.333333333,55.33333333,5.1,17,1,0
2016-01-11 17:40:00,60,40,19.89,46.33333333,19.2,44.53,19.79,45.0,18.89,45.53,17.2,55.09,6.3666666670000005,84.89333333,17.2,41.23,18.1,48.59,17.0,45.4,6.13,733.9,92.0,5.666666667,47.66666667,4.9,17,1,0
2016-01-11 17:50:00,50,40,19.89,46.02666667,19.2,44.5,19.79,44.93333333,18.89,45.73,17.13333333,55.03,6.3,85.76666667,17.13333333,41.26,18.1,48.59,17.0,45.29,6.02,734.0,92.0,5.333333333,43.83333333,4.8,17,1,0
2016-01-11 18:10:00,60,50,19.85666667,45.56,19.2,44.5,19.73,44.9,18.89,45.86333333,17.1,54.9,6.19,86.42333333,17.1,41.2,18.1,48.59,17.0,45.29,5.92,734.1666667000002,91.83333333,5.166666667,40.0,4.68,18,1,0
2016-01-11 18:20:00,60,40,19.79,45.5975,19.2,44.43333333,19.73,44.79,18.89,45.79,17.16666667,55.0,6.123333333,87.22666667,17.16666667,41.4,18.1,48.59,17.0,45.29,5.93,734.2333332999998,91.66666667,5.333333333,40.0,4.67,18,1,0
2016-01-11 18:30:00,70,40,19.85666667,46.09,19.23,44.4,19.79,44.86333333,18.89,46.09666667,17.1,55.0,6.19,87.62666667,17.2,41.5,18.1,48.59,17.0,45.29,5.95,734.3,91.5,5.5,40.0,4.65,18,1,0
2016-01-11 19:00:00,430,50,20.13333333,48.0,19.56666667,44.4,19.89,44.9,19.0,46.36333333,17.1,55.09,6.123333333,88.59,17.82333333,45.49333333,18.06666667,48.56,16.96333333,45.29,6.0,734.5,91.0,6.0,40.0,4.6,19,0,1
2016-01-11 19:10:00,250,40,20.26,52.72666667,19.73,45.1,19.89,45.49333333,19.0,47.22333333,17.1,55.16333333,6.0675,88.215,17.96333333,46.16,18.03333333,48.66666667,16.89,45.32666667,6.0,734.6166667,90.5,6.0,40.0,4.52,19,0,1
2016-01-11 19:20:00,100,10,20.42666667,55.89333333,19.85666667,45.83333333,20.03333333,47.52666667,19.0,48.69666667,17.1,55.5,5.9,88.15666667,17.96333333,45.53333333,18.1,49.19333333,16.89,45.345,6.0,734.7333332999998,90.0,6.0,40.0,4.43,19,0,1
2016-01-11 19:40:00,90,10,20.73,52.66,20.16666667,47.22333333,20.2,48.53,18.92666667,48.15666667,17.16666667,56.49,5.726666667000001,88.16,17.76,44.26666667,18.23,49.63333333,16.89,45.29,6.0,734.9666667,89.0,6.0,40.0,4.27,19,0,1
2016-01-11 20:00:00,80,30,20.89,51.19333333,20.2,46.33,20.2,48.19333333,18.96333333,48.63,17.2,57.06,5.333333333,86.76,17.66666667,43.16,18.53333333,50.2,16.89,45.2,6.0,735.2,88.0,6.0,40.0,4.1,20,0,1
2016-01-11 20:10:00,140,40,20.89,49.8,20.2,46.02666667,20.16666667,47.63333333,19.03333333,49.5,17.59333333,70.72666667,5.333333333,87.46333333,17.6,42.69333333,18.66666667,50.26,16.89,45.2,6.0,735.2333332999998,87.83333333,6.0,40.0,4.07,20,0,1
2016-01-11 20:20:00,120,20,20.89,48.43333333,20.2,45.7225,20.16666667,47.3,19.175,49.9475,18.06666667,79.0,5.466666667,87.53,17.6,42.33333333,18.73,50.23,16.89,45.12666667,6.0,735.2666667000002,87.66666667,6.0,40.0,4.03,20,0,1
2016-01-11 20:50:00,110,40,21.1,46.59666667,20.35666667,44.96333333,20.29,46.63333333,19.39,48.42666667,17.56666667,78.39333333,5.623333333,86.33,17.76,43.63333333,18.96333333,50.03,16.89,45.0,6.0,735.3666667,87.16666667,6.0,40.0,3.93,20,0,1
2016-01-11 21:00:00,110,30,21.13333333,46.06,20.42666667,44.76,20.29,46.43333333,19.39,48.19333333,17.76,82.46,5.763333332999999,86.06333333,17.85666667,43.46,19.0,49.76,16.89,44.96666667,6.0,735.4,87.0,6.0,40.0,3.9,21,0,1
