Unnamed: 0	Unnamed: 0.1	Unnamed: 0.1.1	Release Date	Movie	Production Budget	Domestic Gross	Worldwide Gross	IMDB	METACRITIC	RT
0	0	1.0	12/18/2009	Avatar	$425,000,000	$760,507,625	$2,783,918,982	7.8/10	83/100	83%

2	4	3.0	5/1/2015	Avengers: Age of Ultron	$330,600,000	$459,005,868	$1,408,218,722	7.4/10	66/100	75%
3	6	4.0	12/18/2015	Star Wars Ep. VII: The Force Awakens	$306,000,000	$936,662,225	$2,058,662,225	0	0	0
4	8	5.0	5/24/2007	Pirates of the Caribbean: At World’s End	$300,000,000	$309,420,425	$963,420,425	7.1/10	50/100	45%
5	10	6.0	11/17/2017	Justice League	$300,000,000	$227,205,943	$654,005,943	7.0/10	45/100	40%
6	12	7.0	11/6/2015	Spectre	$300,000,000	$200,074,175	$879,620,923	6.8/10	60/100	63%
7	14	8.0	7/20/2012	The Dark Knight Rises	$275,000,000	$448,139,099	$1,084,439,099	8.4/10	78/100	87%
8	16	9.0	7/2/2013	The Lone Ranger	$275,000,000	$89,302,115	$260,002,115	6.5/10	37/100	31%
9	18	10.0	3/9/2012	John Carter	$275,000,000	$73,058,679	$282,778,100	6.6/10	51/100	51%
10	20	11.0	11/24/2010	Tangled	$260,000,000	$200,821,936	$586,477,240	7.8/10	71/100	89%
11	22	12.0	5/4/2007	Spider-Man 3	$258,000,000	$336,530,303	$894,860,230	6.2/10	59/100	63%
12	24	13.0	5/6/2016	Captain America: Civil War	$250,000,000	$408,084,349	$1,153,304,495	7.9/10	75/100	91%
13	26	14.0	3/25/2016	Batman v Superman: Dawn of Justice	$250,000,000	$330,360,194	$868,160,194	6.6/10	44/100	27%
14	28	15.0	12/14/2012	The Hobbit: An Unexpected Journey	$250,000,000	$303,003,568	$1,017,003,568	7.9/10	58/100	64%
15	30	16.0	7/15/2009	Harry Potter and the Half-Blood Prince	$250,000,000	$301,959,197	$935,083,686	7.5/10	78/100	84%
16	32	17.0	12/13/2013	The Hobbit: The Desolation of Smaug	$250,000,000	$258,366,855	$960,366,855	7.9/10	66/100	75%
17	34	18.0	12/17/2014	The Hobbit: The Battle of the Five Armies	$250,000,000	$255,119,788	$955,119,788	7.4/10	59/100	60%
18	36	19.0	4/14/2017	The Fate of the Furious	$250,000,000	$225,764,765	$1,237,466,026	6.8/10	56/100	66%
19	38	20.0	6/28/2006	Superman Returns	$232,000,000	$200,120,000	$374,085,065	6.1/10	72/100	76%
20	40	21.0	5/26/2017	Pirates of the Caribbean: Dead Men Tell No Tales	$230,000,000	$172,558,876	$794,758,876	6.7/10	39/100	30%
21	42	22.0	11/14/2008	Quantum of Solace	$230,000,000	$169,368,427	$591,692,078	6.6/10	58/100	65%
22	44	23.0	5/4/2012	The Avengers	$225,000,000	$623,279,547	$1,519,479,547	8.1/10	69/100	92%
23	46	24.0	7/7/2006	Pirates of the Caribbean: Dead Man’s Chest	$225,000,000	$423,315,812	$1,066,215,812	7.3/10	53/100	54%
24	48	25.0	6/14/2013	Man of Steel	$225,000,000	$291,045,518	$667,999,518	7.1/10	55/100	55%
25	50	26.0	5/16/2008	The Chronicles of Narnia: Prince Caspian	$225,000,000	$141,621,490	$417,341,288	6.6/10	62/100	67%
26	52	27.0	7/3/2012	The Amazing Spider-Man	$220,000,000	$262,030,663	$757,890,267	7.0/10	66/100	73%
27	54	28.0	6/21/2017	Transformers: The Last Knight	$217,000,000	$130,168,683	$603,968,683	5.2/10	28/100	16%
28	56	29.0	6/12/2015	Jurassic World	$215,000,000	$652,198,010	$1,671,640,593	7.0/10	59/100	72%
29	58	30.0	5/25/2012	Men in Black 3	$215,000,000	$179,020,854	$654,213,485	6.8/10	58/100	68%
30	60	31.0	6/24/2009	Transformers: Revenge of the Fallen	$210,000,000	$402,111,870	$836,519,699	6.0/10	35/100	19%
31	62	32.0	6/27/2014	Transformers: Age of Extinction	$210,000,000	$245,439,076	$1,104,039,076	5.7/10	32/100	18%
32	64	33.0	5/26/2006	X-Men: The Last Stand	$210,000,000	$234,362,462	$459,260,946	6.7/10	58/100	58%
33	66	34.0	5/14/2010	Robin Hood	$210,000,000	$105,269,730	$322,241,588	6.7/10	53/100	43%
34	68	35.0	5/18/2012	Battleship	$209,000,000	$65,233,400	$305,218,228	5.8/10	41/100	34%
35	70	36.0	12/14/2005	King Kong	$207,000,000	$218,080,025	$550,517,357	7.2/10	81/100	84%
36	72	37.0	12/7/2007	The Golden Compass	$205,000,000	$70,107,728	$367,262,558	6.1/10	51/100	42%
37	74	38.0	12/19/1997	Titanic	$200,000,000	$659,363,944	$2,208,307,310	7.8/10	75/100	88%
38	76	39.0	12/16/2016	Rogue One: A Star Wars Story	$200,000,000	$532,177,324	$1,050,988,488	7.8/10	65/100	85%
39	78	40.0	6/17/2016	Finding Dory	$200,000,000	$486,295,561	$1,022,617,376	7.4/10	77/100	94%
40	80	41.0	6/18/2010	Toy Story 3	$200,000,000	$415,004,880	$1,069,666,004	8.3/10	92/100	99%
41	82	42.0	5/3/2013	Iron Man 3	$200,000,000	$408,992,272	$1,215,392,272	7.2/10	62/100	80%
42	84	43.0	5/5/2017	Guardians of the Galaxy Vol 2	$200,000,000	$389,813,101	$863,613,101	7.8/10	67/100	83%
43	86	44.0	6/30/2004	Spider-Man 2	$200,000,000	$373,524,485	$795,110,670	7.3/10	83/100	93%
44	88	45.0	3/5/2010	Alice in Wonderland	$200,000,000	$334,191,110	$1,025,491,110	6.5/10	53/100	52%
45	90	46.0	11/8/2012	Skyfall	$200,000,000	$304,360,277	$1,110,526,981	7.8/10	81/100	93%
46	92	47.0	6/21/2013	Monsters University	$200,000,000	$268,488,329	$743,588,329	7.3/10	65/100	79%
47	94	48.0	3/8/2013	Oz the Great and Powerful	$200,000,000	$234,770,996	$490,359,051	6.3/10	44/100	59%
48	96	49.0	5/23/2014	X-Men: Days of Future Past	$200,000,000	$233,921,534	$747,862,775	8.0/10	74/100	91%
49	98	50.0	5/2/2014	The Amazing Spider-Man 2	$200,000,000	$202,853,933	$708,996,336	6.7/10	53/100	52%
50	100	51.0	6/24/2011	Cars 2	$200,000,000	$191,450,875	$560,155,383	6.2/10	57/100	39%
51	102	52.0	12/17/2010	Tron: Legacy	$200,000,000	$172,062,763	$400,062,763	6.8/10	49/100	51%
52	104	53.0	11/13/2009	2012	$200,000,000	$166,112,167	$788,408,539	5.8/10	49/100	40%
53	106	54.0	5/21/2009	Terminator Salvation	$200,000,000	$125,322,469	$365,491,792	6.6/10	49/100	33%
54	108	55.0	6/17/2011	Green Lantern	$200,000,000	$116,601,172	$219,535,492	5.6/10	39/100	26%
55	110	56.0	5/28/2010	Prince of Persia: Sands of Time	$200,000,000	$90,759,676	$314,594,597	0	0	0
56	112	57.0	6/29/2011	Transformers: Dark of the Moon	$195,000,000	$352,390,543	$1,123,790,543	6.3/10	42/100	35%
57	114	58.0	6/9/2017	The Mummy	$195,000,000	$80,101,125	$410,333,326	7.0/10	48/100	57%
58	116	59.0	3/1/2013	Jack the Giant Slayer	$195,000,000	$65,187,603	$197,687,603	6.3/10	51/100	52%
59	118	60.0	4/3/2015	Furious 7	$190,000,000	$351,032,910	$1,516,748,684	7.2/10	67/100	80%
60	120	61.0	5/16/2013	Star Trek Into Darkness	$190,000,000	$228,778,661	$467,381,584	7.8/10	0	0
61	122	62.0	6/21/2013	World War Z	$190,000,000	$202,359,711	$531,514,650	7.0/10	63/100	66%
62	124	63.0	5/10/2013	The Great Gatsby	$190,000,000	$144,840,419	$351,040,419	7.3/10	55/100	49%
63	126	64.0	11/6/2009	Disney’s A Christmas Carol	$190,000,000	$137,855,863	$315,709,697	0	0	0
64	128	65.0	7/12/2013	Pacific Rim	$190,000,000	$101,802,906	$411,002,906	7.0/10	64/100	71%
65	130	66.0	11/25/2015	The Good Dinosaur	$187,500,000	$123,087,120	$334,342,692	6.7/10	66/100	77%
66	132	67.0	5/2/2008	Iron Man	$186,000,000	$318,604,126	$585,171,547	7.9/10	79/100	94%
