Year	Chinese	Indian	Malay	Others	Total	Infant milk prices
2004	1.00	1.00	1.00	1.00	1.00	1.00
2005	0.99	0.99	0.98	0.91	0.95	1.02
2006	1.00	0.99	0.96	0.93	0.96	1.03
2007	1.01	0.98	0.92	0.92	0.95	1.12
2008	1.00	0.93	0.92	0.93	0.94	1.40
2009	0.96	0.93	0.88	0.87	0.89	1.47
2010	0.89	0.93	0.82	0.84	0.86	1.56
2011	0.93	0.89	0.81	0.82	0.85	1.71
2012	1.00	0.93	0.84	0.87	0.89	1.78
2013	0.89	0.91	0.85	0.79	0.84	1.96
2014	0.96	0.89	0.91	0.78	0.86	2.25
2015	0.93	0.90	0.97	0.72	0.85	2.37
2016	0.89	0.82	0.99	0.68	0.81	2.47
